target_id	length	eff_length	est_counts	tpm
YCL068C	783	604	0	0
YNL073W	1731	1552	150	47.1454
YLR154W-A	186	19.0638	46	1177.03
YPR128C	987	808	41	24.7521
YGL075C	1164	985	19	9.4093
YDR339C	570	391	53	66.121
YLR435W	618	439	28	31.1124
YPL095C	1371	1192	51	20.8706
YKL162C-A	153	9.8295	0	0
YJL026W	1200	1021	368.84	176.219
YCL004W	1566	1387	40	14.0677
YPL038W-A	192	21.9418	0	0
YGL074C	327	148	12	39.5512
YGL170C	1242	1063	2	0.917776
YJR063W	378	199	17	41.6712
YOR074C	915	736	86.1415	57.0919
YOR278W	828	649	28	21.0452
YIL056W	1923	1744	82	22.9355
YGL224C	843	664	43	31.5893
YPR073C	486	307	55	87.3905
YDR503C	825	646	43	32.4695
YOR019W	2193	2014	88	21.3139
YLR108C	1458	1279	83	31.6554
YML080W	1272	1093	16	7.14068
YBL108W	306	127	2	7.68186
YLR214W	2061	1882	146	37.8419
YMR180C	963	784	46	28.6208
YPL028W	1197	1018	944	452.339
YBR198C	2397	2218	205	45.085
YBR289W	2718	2539	73	14.0249
YKR035W-A	615	436	0	0
YDL070W	1917	1738	216	60.6239
YPL034W	498	319	18	27.5247
YFL002W-B	1317	1138	0	0
YPL209C	1104	925	9	4.74614
YPL174C	2607	2428	51	10.2462
YCR084C	2142	1963	302	75.0458
YNL097C-B	123	6.43085	0	0
YKL210W	3075	2896	659	111.001
YDR508C	1992	1813	289.671	77.9376
YDR364C	1368	1189	34	13.9488
YLR257W	966	787	676	418.998
YDR281C	315	136	2	7.1735
YOL062C	1476	1297	236	88.7589
YOR371C	2694	2515	35	6.78844
YJL041W	2472	2293	209	44.4613
YJL126W	924	745	35	22.9167
YOL100W	3246	3067	85.9775	13.6745
YER033C	3231	3052	74	11.8273
YGR200C	2367	2188	90	20.0648
YER019C-A	267	88.0006	205	1136.34
YAR069C	294	115	0	0
YDL185W	3216	3037	1132	181.82
YOL122C	1728	1549	126	39.6789
YLR289W	1938	1759	41	11.3699
YGL038C	1443	1264	165	63.6762
YDR261W-B	5313	5134	21.1318	2.0078
YAR031W	897	718	19.5686	13.2946
YDR160W	2559	2380	91	18.6511
YMR124W	2832	2653	219	40.2668
YNR063W	1824	1645	8	2.37227
YKR062W	987	808	122	73.6527
YJL052W	999	820	1547.9	920.81
YHR023W	5787	5608	100	8.69825
YMR193C-A	387	208	5	11.7259
YBL044W	369	190	21	53.9145
YLR451W	2661	2482	73	14.347
YMR326C	309	130	0	0
YIR033W	3342	3163	251	38.7092
Q0115	1554	1375	0	0
YGL184C	1398	1219	24	9.6039
YLR145W	606	427	32	36.5563
YPL182C	384	205	4.71277	11.214
YER136W	1356	1177	426	176.552
YMR040W	483	304	8	12.8368
YOL095C	2121	1942	19	4.77248
YLR197W	1515	1336	333.52	121.774
YLR161W	345	166	5.10998	15.0159
YOR142W-B	5268	5089	269.686	25.8503
YOR344C	876	697	55	38.492
YPL250W-A	288	109	0	0
YML081C-A	180	16.6423	16	468.97
YAL048C	1989	1810	30	8.08505
YNL339W-A	576	397	22.4758	27.6162
YMR046C	1323	1144	3.70028	1.57779
YPL035C	348	169	7	20.2047
YLR011W	576	397	27	33.1752
YKR033C	426	247	0	0
YLR351C	876	697	265	185.461
YDL198C	903	724	111	74.7867
YAL026C	4068	3889	187.307	23.494
YLR068W	456	277	10	17.61
YMR279C	1623	1444	19	6.41839
YPL185W	396	217	2	4.49583
YPR033C	1641	1462	488	162.822
YML130C	1692	1513	124	39.9782
Q0075	1065	886	0	0
YJL117W	936	757	164	105.679
YJR087W	351	172	35.6839	101.201
YDR003W	633	454	88	94.5512
YMR162C	4971	4792	158	16.0835
YDR019C	1203	1024	29	13.8146
YDR421W	2853	2674	107	19.5192
YOR110W	1308	1129	106	45.7986
YDR312W	1362	1183	31.2	12.865
YNL084C	1050	871	172	96.3275
YOR043W	1461	1282	196	74.5775
YDR050C	747	568	8209	7049.88
YOR072W	315	136	1	3.58675
YOR117W	1305	1126	448	194.079
YDR064W	456	277	1481	2608.05
YKL043W	1101	922	107	56.61
YLR195C	1368	1189	94	38.5644
YML068W	1395	1216	54	21.6621
YDR315C	846	667	28	20.4773
YFR014C	1341	1162	187	78.5011
YCL002C	792	613	45	35.809
YFR004W	921	742	430	282.686
YOR120W	939	760	60.0085	38.5158
YDL054C	1461	1282	104	39.5718
YPL133C	1341	1162	46	19.3104
YPR081C	1857	1678	93	27.0353
YBR064W	429	250	0	0
YGR054W	1929	1750	171	47.6648
YKL071W	771	592	14	11.5358
YHR143W	978	799	306	186.816
YNR001W-A	219	41.1625	0	0
YOR044W	474	295	12	19.8426
YFL013W-A	804	625	65.0108	50.7394
YFL056C	639	460	16.9911	18.0178
YKR034W	810	631	0	0
YGL166W	678	499	75.2456	73.5564
YDR027C	2670	2491	118	23.1073
YHR035W	1893	1714	12	3.41516
YLR140W	327	148	3	9.8878
YGR083C	1956	1777	121	33.2153
YGL001C	1050	871	195	109.209
YOL022C	1227	1048	71	33.0474
YLL067W-A	483	304	0	0
YGL090W	1266	1087	31	13.9114
YCR013C	648	469	6304.53	6557.22
YAL004W	648	469	0	0
YJR049C	1593	1414	221	76.24
YNL229C	1065	886	125	68.8203
YJR071W	369	190	6	15.4041
YDL234C	2241	2062	194	45.8937
YLR094C	1509	1330	75	27.5074
YML118W	1518	1339	37	13.4791
YHL001W	417	238	473.08	969.611
YKL147C	618	439	2.67036	2.96719
YDR368W	939	760	164	105.262
YGL188C-A	141	8.14747	0	0
YOR378W	1548	1369	9	3.20685
YPR014C	330	151	9	29.0741
YJL011C	486	307	12	19.067
YKL177W	339	160	1	3.04874
YOR221C	1083	904	53	28.5988
YKL069W	543	364	79	105.868
